cod_insersao;descricao_kit;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;envio;frequencia;usuario;info_produto;tipo_material;classificacao_produto;personalizacao
82101142201;PET CURSOS ALUNO EF2 9O ANO PET CURSOS 1O BI;82101142201;PG25LA291PT00;25 LV ALUNO EF2 9O ANO 1O BI PET CURSOS;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;PET CURSOS
82101142201;PET CURSOS ALUNO EF2 9O ANO PET CURSOS 1O BI;82101142201;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;PET CURSOS
82101142201;PET CURSOS ALUNO EF2 9O ANO PET CURSOS 1O BI;82101142201;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;PET CURSOS
82101142301;ELO ALUNO EF2 9O ANO ELO 1O BI;82101142301;PG25LA291EE00;25 LV ALUNO EF2 9O ANO 1O BI ELO;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;ELO
82101142301;ELO ALUNO EF2 9O ANO ELO 1O BI;82101142301;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;ELO
82101142301;ELO ALUNO EF2 9O ANO ELO 1O BI;82101142301;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;ELO
PG25LA295SDI0;25 LV ALUNO EF2 9O ANO VOL 1 SAE INGLES;;PG25LA295SDI0;25 LV ALUNO EF2 9O ANO VOL 1 SAE INGLES;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Língua Inglesa;Livro;Livro;SAE
200705508;EMPREEND 9O ANO AL VOL1 EU, EMPREENDEDOR;;200705508;EMPREEND 9O ANO AL VOL1 EU, EMPREENDEDOR;FUND AF;9O ANO;;;;;;livro;Livro;SAE
200705509;EDUC FIN 9O ANO AL VOL1 PLANEJAMENTO FINANCEIRO;;200705509;EDUC FIN 9O ANO AL VOL1 PLANEJAMENTO FINANCEIRO;FUND AF;9O ANO;;;;;;livro;Livro;SAE
PG25LA291SDIA;25 LV ALUNO EF2 9O ANO VOL 1 SAE AMPLIADO INGLES;;PG25LA291SDIA;25 LV ALUNO EF1 9O ANO VOL 1 SAE AMPLIADO INGLES;FUND AF;9O ANO;Volume 01;V1;Semestral;Ampliado;Língua Inglesa;Adaptação;Não editorial;SAE
9786588573037;LV ALUNO CONEXÕES DE FÉ - 9° ANO ANUAL;;9786588573037;LV ALUNO CONEXOES DE FE - 9° ANO ANUAL;FUND AF;;;;;;;livro;Livro;SAE
200713575;RELIGIOSO 9O ANO AL VOL1 PASSADO PRESENTE E FE;;200713575;RELIGIOSO 9O ANO AL VOL1 PASSADO PRESENTE E FE;FUND AF;9O ANO;;;;;;livro;Livro;SAE
82101149701;KIT LITERATURA EF2 9O ANO;82101149701;9786557981696;EC LITERATURA TEMPO DE ROSAS;FUND AF;;;V1;Anual;Aluno;Literatura;livro;Livro;SAE
82101149701;KIT LITERATURA EF2 9O ANO;82101149701;9786557980354;NAS MAOS DE BENEDITA;FUND AF;;;V1;Anual;Aluno;Literatura;livro;Livro;SAE
82101149701;KIT LITERATURA EF2 9O ANO;82101149701;9786557980187;BRINCADEIRA DE GUERRA;FUND AF;;;V1;Anual;Aluno;Literatura;livro;Livro;SAE
82101149701;KIT LITERATURA EF2 9O ANO;82101149701;9786557980378;LABIRINTO NO ESCURO;FUND AF;;;V1;Anual;Aluno;Literatura;livro;Livro;SAE
PG25LA295SDEA;25 LV ALUNO EF2 9O ANO ANUAL SAE ESPANHOL AMPLIADO;;PG25LA295SDEA;24 LV ALUNO EF2 9O ANO ANUAL SAE ESPANHOL AMPLIADO;FUND AF;9O ANO;Volume 01;V1;Anual;Ampliado;Língua Espanhola;Adaptação;Não editorial;SAE
PG24LA295SDE0;24 LV ALUNO EF2 9O ANO ANUAL SAE ESPANHOL;;PG24LA295SDE0;24 LV ALUNO EF2 9O ANO ANUAL SAE ESPANHOL;FUND AF;9O ANO;Volume 01;V1;Anual;Aluno;Língua Espanhola;Livro;Livro;SAE
82101150101;SAE ALUNO EM 1A SERIE SAE 1O BI;82101150101;PG25LA311SD01;25 LV ALUNO EM 1A SERIE 1O BI SAE LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;SAE
82101150101;SAE ALUNO EM 1A SERIE SAE 1O BI;82101150101;PG25LA311SD02;25 LV ALUNO EM 1A SERIE 1O BI SAE MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;SAE
82101150201;CELLULA MATER ALUNO EM 1A SERIE CELLULA MATER 1O BI;82101150201;PG25LA311ZU01;25 LV ALUNO EM 1A SERIE 1O BI CELLULA MATER LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;CELLULA MATER
82101150201;CELLULA MATER ALUNO EM 1A SERIE CELLULA MATER 1O BI;82101150201;PG25LA311ZU02;25 LV ALUNO EM 1A SERIE 1O BI CELLULA MATER MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;CELLULA MATER
82101150401;FILOMENA ALUNO EM 1A SERIE FILOMENA 1O BI;82101150401;PG25LA311FL01;25 LV ALUNO EM 1A SERIE 1O BI FILOMENA LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;FILOMENA
82101150401;FILOMENA ALUNO EM 1A SERIE FILOMENA 1O BI;82101150401;PG25LA311FL02;25 LV ALUNO EM 1A SERIE 1O BI FILOMENA MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;FILOMENA
82101150501;GABARITO MG ALUNO EM 1A SERIE GABARITO MG 1O BI;82101150501;PG25LA311GA01;25 LV ALUNO EM 1A SERIE 1O BI GABARITO MG LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;GABARITO MG
82101150501;GABARITO MG ALUNO EM 1A SERIE GABARITO MG 1O BI;82101150501;PG25LA311GA02;25 LV ALUNO EM 1A SERIE 1O BI GABARITO MG MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;GABARITO MG
82101150601;GABARITO RS ALUNO EM 1A SERIE GABARITO RS 1O BI;82101150601;PG25LA311GR01;25 LV ALUNO EM 1A SERIE 1O BI GABARITO RS LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;GABARITO RS
82101150601;GABARITO RS ALUNO EM 1A SERIE GABARITO RS 1O BI;82101150601;PG25LA311GR02;25 LV ALUNO EM 1A SERIE 1O BI GABARITO RS MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;GABARITO RS
82101150701;MACK ALUNO EM 1A SERIE MACK 1O BI;82101150701;PG25LA311MA01;25 LV ALUNO EM 1A SERIE 1O BI MACK LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;MACK
82101150701;MACK ALUNO EM 1A SERIE MACK 1O BI;82101150701;PG25LA311MA02;25 LV ALUNO EM 1A SERIE 1O BI MACK MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;MACK
82101150901;MELLO DANTE ALUNO EM 1A SERIE MELLO DANTE 1O BI;82101150901;PG25LA311ZA01;25 LV ALUNO EM 1A SERIE 1O BI MELLO DANTE LCH;EM;1A SERIE;;;Bimestral;;;livro;Livro;MELLO DANTE
82101150901;MELLO DANTE ALUNO EM 1A SERIE MELLO DANTE 1O BI;82101150901;PG25LA311ZA02;25 LV ALUNO EM 1A SERIE 1O BI MELLO DANTE MCN;EM;1A SERIE;;;Bimestral;;;livro;Livro;MELLO DANTE
82101151001;REDE VIVO ALUNO EM 1A SERIE REDE VIVO 1O BI;82101151001;PG25LA311RV01;25 LV ALUNO EM 1A SERIE 1O BI REDE VIVO LCH;EM;1A SERIE;;;Bimestral;;;livro;Livro;REDE VIVO
